name,type,domain,grade,mail_domain,mail_domain_grade,case,contact_email,contact_role,flag,subject,body
Gates County Schools,district,gates.k12.nc.us,NO_DMARC,gatescountyschools.net,NO_DMARC,both_bad,smithjl@gatescountyschools.net,Director of Technology,,Gates County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Gates County Schools:

Both of your domains are affected. gates.k12.nc.us has no DMARC record at all. And your email domain: gatescountyschools.net has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @gatescountyschools.net or @gates.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.gatescountyschools.net
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@gatescountyschools.net; fo=1

and the same record for gates.k12.nc.us:
  Host:  _dmarc.gates.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@gates.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Graham County Schools,district,graham.k12.nc.us,MONITOR_ONLY,graham.k12.nc.us,MONITOR_ONLY,same,robert_moody@graham.k12.nc.us,Superintendent's Office,,Graham County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Graham County Schools:

graham.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @graham.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.graham.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@graham.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Greene County Schools,district,gcsedu.org,NO_DMARC,greene.k12.nc.us,NO_DMARC,both_bad,techdirector@greene.k12.nc.us,Chief Technology Officer,,Greene County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Greene County Schools:

Both of your domains are affected. gcsedu.org has no DMARC record at all. And your email domain: greene.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @greene.k12.nc.us or @gcsedu.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.greene.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@greene.k12.nc.us; fo=1

and the same record for gcsedu.org:
  Host:  _dmarc.gcsedu.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@gcsedu.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Guilford County Schools,district,gcsnc.com,PARTIAL,gcsnc.com,PARTIAL,same,sladea@gcsnc.com,Chief Technology Officer,,Guilford County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Guilford County Schools:

gcsnc.com applies its DMARC policy to only 10% of mail, so forged messages in the remainder are not blocked.

What that means in practice: an email forged to look like it came from an @gcsnc.com address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.gcsnc.com
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@gcsnc.com; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Jackson County Public Schools,district,jcpsnc.org,NO_DMARC,jcpsmail.org,MONITOR_ONLY,both_bad,gstewart@jcpsmail.org,Chief Technology Officer,,Jackson County Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Jackson County Public Schools:

Both of your domains are affected. jcpsnc.org has no DMARC record at all. And your email domain: jcpsmail.org has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @jcpsmail.org or @jcpsnc.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.jcpsmail.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@jcpsmail.org; fo=1

and the same record for jcpsnc.org:
  Host:  _dmarc.jcpsnc.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@jcpsnc.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Lenoir County Public Schools,district,lcpsnc.org,MONITOR_ONLY,lenoir.k12.nc.us,MONITOR_ONLY,both_bad,cwhite@lenoir.k12.nc.us,Director of Media & Technology,,Lenoir County Public Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Lenoir County Public Schools:

Both of your domains are affected. lcpsnc.org has a DMARC record set to p=none, which reports forged mail but does not block it. And your email domain: lenoir.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @lenoir.k12.nc.us or @lcpsnc.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.lenoir.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@lenoir.k12.nc.us; fo=1

and the same record for lcpsnc.org:
  Host:  _dmarc.lcpsnc.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@lcpsnc.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Lincoln County Schools,district,lincoln.k12.nc.us,NO_DMARC,lincoln.k12.nc.us,NO_DMARC,same,steven@lincoln.k12.nc.us,Chief Technology Officer,,Lincoln County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Lincoln County Schools:

lincoln.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @lincoln.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.lincoln.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@lincoln.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Macon County Schools,district,macon.k12.nc.us,MONITOR_ONLY,macon.k12.nc.us,MONITOR_ONLY,same,tim.burrell@macon.k12.nc.us,Chief Technology Officer,,Macon County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Macon County Schools:

macon.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @macon.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.macon.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@macon.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Martin County Schools,district,martin.k12.nc.us,NO_DMARC,martin.k12.nc.us,NO_DMARC,same,abennett@martin.k12.nc.us,Senior Director of Technology,,Martin County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Martin County Schools:

martin.k12.nc.us has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @martin.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.martin.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@martin.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mitchell County Schools,district,mcsnc.org,NO_DMARC,mhslive.net,NO_DMARC,both_bad,scook@mhslive.net,Technology Director,,Mitchell County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mitchell County Schools:

Both of your domains are affected. mcsnc.org has no DMARC record at all. And your email domain: mhslive.net has no DMARC record at all.

What that means in practice: an email forged to look like it came from an @mhslive.net or @mcsnc.org address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mhslive.net
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mhslive.net; fo=1

and the same record for mcsnc.org:
  Host:  _dmarc.mcsnc.org
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mcsnc.org; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Montgomery County Schools,district,montgomery.k12.nc.us,MONITOR_ONLY,montgomery.k12.nc.us,MONITOR_ONLY,same,brian.helms@montgomery.k12.nc.us,IT Director,,Montgomery County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Montgomery County Schools:

montgomery.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @montgomery.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.montgomery.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@montgomery.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Mount Airy City Schools,district,mtairy.k12.nc.us,MONITOR_ONLY,mtairy.k12.nc.us,MONITOR_ONLY,same,cvenable@mtairy.k12.nc.us,Technology Department,,Mount Airy City Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Mount Airy City Schools:

mtairy.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @mtairy.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.mtairy.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@mtairy.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Orange County Schools,district,orange.k12.nc.us,MONITOR_ONLY,orange.k12.nc.us,MONITOR_ONLY,same,ocs.superintendent@orange.k12.nc.us,Superintendent's Office,,Orange County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Orange County Schools:

orange.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @orange.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.orange.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@orange.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
Richmond County Schools,district,richmond.k12.nc.us,MONITOR_ONLY,richmond.k12.nc.us,MONITOR_ONLY,same,KatherineBendell@richmond.k12.nc.us,Technology Department,,Richmond County Schools: your email domain can currently be spoofed (free 20-minute fix inside),"Hello,

I'm a high school senior in Cary. As an independent project, I checked the public email-security records of every NC school district and municipality, 609 in total, using standard DNS lookups. Nothing was sent to or accessed on your systems; these records are public by design.

Here is what I found for Richmond County Schools:

richmond.k12.nc.us has a DMARC record set to p=none, which reports forged mail but does not block it.

What that means in practice: an email forged to look like it came from an @richmond.k12.nc.us address would not be rejected by the recipient's mail server. This is how business email compromise works, where a fake message from a director or manager asks a clerk to change a vendor's bank details. It is the most expensive category of cybercrime the FBI tracks, and local governments and school districts are frequent targets.

You are not alone: 68% of NC public bodies are in the same position.

The fix is free and takes about twenty minutes. The safe first step (monitoring mode) changes nothing about how your mail works today:

  Host:  _dmarc.richmond.k12.nc.us
  Type:  TXT
  Value: v=DMARC1; p=none; rua=mailto:dmarc-reports@richmond.k12.nc.us; fo=1

After a few weeks of reports, the policy can move to p=quarantine and then p=reject, which is what CISA recommends for government domains. Full step-by-step instructions: [GITHUB LINK]

If it would help, I'm glad to answer questions. I'll be re-checking all 609 domains in about thirty days to see how many have been secured, and I'd be glad to count yours.

Thank you,
Siddharth Santhosh
siddharthsann@gmail.com · 919-454-0875"
